seed,turn,seat,hp,mp,energy,foe_hp,foe_mp,foe_energy,dist,shrink,my_ac,foe_ac,my_nade,foe_nade,outcome
770002,29,B,75,13,15,49,19,10,1,2,2,5,1,0,-1
770002,30,A,34,9,30,75,13,0,1,2,0,4,0,0,1
770002,30,B,75,13,0,34,9,30,1,2,4,0,0,0,-1
770002,31,A,34,9,0,45,13,0,1,2,2,5,0,0,1
770002,31,B,45,13,0,34,9,0,1,2,5,2,0,0,-1
770002,32,A,34,9,20,45,3,40,1,2,2,0,0,0,1
770002,32,B,45,3,40,34,9,20,1,2,0,2,0,0,-1
770002,33,A,19,9,10,45,3,5,3,2,3,2,0,0,1
770002,33,B,45,3,5,19,9,10,3,2,2,3,0,0,-1
770002,34,A,19,9,30,60,18,5,3,2,3,3,0,0,1
770002,34,B,60,18,5,19,9,30,3,2,3,3,0,0,-1
770002,35,A,19,9,20,75,33,5,4,2,4,4,0,0,1
770002,35,B,75,33,5,19,9,20,4,2,4,4,0,0,-1
770002,36,A,34,24,20,75,33,25,4,2,5,4,0,0,1
770002,36,B,75,33,25,34,24,20,4,2,4,5,0,0,-1
770002,37,A,49,39,50,75,33,20,3,2,0,5,0,0,1
770002,37,B,75,33,20,49,39,50,3,2,5,0,0,0,-1
770002,38,A,64,54,50,75,33,40,2,2,1,0,0,0,1
770002,38,B,75,33,40,64,54,50,2,2,0,1,0,0,-1
770002,39,A,64,14,30,60,33,60,1,2,3,0,0,0,1
770002,39,B,60,33,60,64,14,30,1,2,0,3,0,0,-1
770002,40,A,49,14,20,60,3,45,1,2,4,2,0,0,1
770002,40,B,60,3,45,49,14,20,1,2,2,4,0,0,-1
770002,41,A,19,4,30,25,3,5,1,2,0,4,0,0,1
770002,41,B,25,3,5,19,4,30,1,2,4,0,0,0,-1
770003,1,A,100,100,100,100,100,100,5,0,0,0,1,1,1
770003,1,B,100,100,100,100,100,100,5,0,0,0,1,1,-1
770003,2,A,100,100,90,100,60,100,6,0,1,1,1,1,1
770003,2,B,100,60,100,100,100,90,6,0,1,1,1,1,-1
770003,3,A,100,60,100,100,75,100,8,0,2,2,1,1,1
770003,3,B,100,75,100,100,60,100,8,0,2,2,1,1,-1
770003,4,A,100,50,85,100,65,100,9,0,4,3,1,1,1
770003,4,B,100,65,100,100,50,85,9,0,3,4,1,1,-1
770003,5,A,100,50,80,100,65,100,9,0,5,4,1,1,1
770003,5,B,100,65,100,100,50,80,9,0,4,5,1,1,-1
770003,6,A,100,50,100,100,65,100,9,0,0,0,1,1,1
770003,6,B,100,65,100,100,50,100,9,0,0,0,1,1,-1
770003,7,A,100,50,100,100,65,100,8,0,1,1,1,1,1
770003,7,B,100,65,100,100,50,100,8,0,1,1,1,1,-1
770003,8,A,100,63,100,100,55,100,8,0,2,2,1,1,1
770003,8,B,100,55,100,100,63,100,8,0,2,2,1,1,-1
770003,9,A,100,53,100,100,68,100,8,0,3,3,1,1,1
770003,9,B,100,68,100,100,53,100,8,0,3,3,1,1,-1
770003,10,A,100,68,100,100,68,70,6,0,4,5,1,1,1
770003,10,B,100,68,70,100,68,100,6,0,5,4,1,1,-1
770003,11,A,100,68,100,100,68,90,6,1,0,5,1,1,1
